,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Ass1,Klk1,Ms4a4b,Irgm1,Ctss,Adgrf5,Irf7,Cald1,Mlxipl,Defb1,Gsn,Ctss,Ighm,Atp6v1b1,Sftpc,S100a9,Mal,Cryab,Vegfa,Cbr2,Plp1
1,Fxyd2,S100g,Ccl5,Ifit3,Tyrobp,Ptprb,Ifi27,Mylk,Slc34a1,Ppp1r1a,Serping1,Lyz2,Cd79b,Tfcp2l1,Sftpb,S100a8,Epcam,Epcam,Aopep,Wfdc2,Aatk
2,Rida,Dnase1,Tmsb10,Ifit1,Fcer1g,Cdh5,Pigr,Tagln,Fut9,Klk1,Col1a2,Ccl6,Cd79a,Chka,Sftpd,Slfn4,Tfcp2l1,Lmo7,Podxl,Cyp2f2,Art3
3,Gpx3,Cyp2e1,Cd52,Spp1,Cd74,Ramp2,C4b,Tpm1,Slc47a1,Wfdc2,Col3a1,Chil3,Cd74,Mecom,Slc34a2,Cxcr2,Car2,Wwc1,Thsd7a,Scgb1a1,Cnp
4,Fbp1,Cyp4b1,Rac2,Ndrg1,Lyz2,Pecam1,Ly6a,Myl9,Trim7,Mal,Mgp,Mpeg1,H2-Eb1,Egf,Chil1,Retnlg,Defb1,Spint2,Nphs2,Aldh1a1,Gpm6b
5,Scp2,Gpx3,Ptprc,Oasl1,Laptm5,Epas1,Gpx3,Tpm2,Zbtb20,Kng2,Sparc,Laptm5,H2-Aa,Klk1,Lamp3,Srgn,Wfdc2,Bst1,Wt1,Sec14l3,Vwa1
6,Dbi,Cltrn,Lck,Ifit3b,Ifi27l2a,Plvap,Slc13a1,Acta2,Slc6a19,Spp1,Col1a1,Plin2,Ly6d,Kng2,Cbr2,Hdc,Aif1l,Col4a4,Mafb,Hp,Lgi4
7,Sult1d1,Acy3,Trbc2,Rsad2,Spi1,Slc9a3r2,Slc27a2,Csrp1,Slc27a2,Mt1,Cfh,Lgals3,Ms4a1,Ogt,Wfdc2,Csf3r,Cdh16,Bcam,Synpo,Gstm1,Kcna2
8,Khk,Nat8f1,Nkg7,Slc13a1,Cd52,Icam2,Slc34a1,Hspb1,Tef,Tmem52b,Bgn,Cybb,H2-Ab1,Defb1,Lyz2,Tyrobp,Krt7,Tacstd2,Cdc14a,Prdx6,Tmod2
9,Prdx5,Egf,Coro1a,Stat1,Ms4a6c,Eng,Fbp1,Myh11,Maf,Ldhb,Plpp3,Fcer1g,Ighd,S100g,Sfta2,Hp,Cldn7,Npy,Srgap1,Gsta4,Plekhb1
10,Cyb5a,Gatm,H2-Q7,Gbp7,Pld4,Ifitm3,Spp1,Bgn,Slc5a12,Nudt4,Pcolce2,Cd44,Iglc2,Abca13,Scd1,Mxd1,Aqp3,Wfdc2,Tdrd5,Cd24a,Cadm4
11,Cycs,Slc34a1,Trac,Cltrn,Coro1a,Ehd4,Sult1d1,Col18a1,Slc5a2,Atp1b1,Pdgfra,Tyrobp,Iglc3,Wnk1,Npc2,Slpi,S100a1,Npnt,Nebl,Cldn3,Hmgcs2
12,Pecr,Lrp2,Arhgdib,Slc34a1,Ptprc,Cd93,Ndrg1,Rbpms,Vegfa,Fabp3,Lrp1,Cd9,H2-DMb2,Slc4a9,Ager,Lrg1,Cldn8,Col4a3,Col4a4,Alcam,Hspa12a
13,Acy3,Ass1,Laptm5,Slc27a2,Alox5ap,Flt1,Bst2,Flna,Car12,Kcnj1,Ogn,Ftl1-ps1,Cd37,Tmem117,Hc,Il1b,Tspan1,Elovl7,Rhpn1,Krt19,Pmp22
14,Etfb,Fxyd2,Ptprcap,Gpx3,Cybb,Ly6e,Slc4a4,Fxyd1,Snx29,Sostdc1,Timp2,Atp6v0d2,Fcmr,Ivns1abp,Cldn18,Alox5ap,Atp6v1f,Cldn7,Tmod3,Krt18,Itgb4
